scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_89,photographs_100_lora,0.103487,0.185371,0.066206,0.076682,0.46086,0.04182
scene_9,photographs_100_lora,0.075454,0.251072,0.101703,0.369256,0.35436,0.38546
scene_90,photographs_100_lora,0.214773,1.078337,0.583553,0.081984,0.07396,0.09196
scene_92,photographs_100_lora,0.147046,15.432592,14.481621,0.047846,0.04038,0.0587
scene_93,photographs_100_lora,0.158353,0.27446,0.30674,0.024068,0.01672,0.04294
scene_95,photographs_100_lora,0.099573,0.251574,0.279559,0.034133,0.02892,0.04164
scene_96,photographs_100_lora,0.048631,0.128603,0.212764,0.029451,0.02454,0.03682
scene_98,photographs_100_lora,0.120888,0.197847,0.313397,0.078526,0.05132,0.16712
MEAN,photographs_100_lora,0.101505,2.560217,3.455977,0.083042,0.074554,0.110397
MEDIAN,photographs_100_lora,0.093399,0.251114,0.307584,0.05735,0.04512,0.07316
