scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_85,mixed_lora_gray_4_training_views,0.164088,0.214881,0.227668,0.044965,0.03,0.08972
scene_87,mixed_lora_gray_4_training_views,0.087932,0.183937,0.172332,0.092732,0.07538,0.12046
scene_89,mixed_lora_gray_4_training_views,0.138228,0.215059,0.056232,0.140615,0.26652,0.0955
scene_9,mixed_lora_gray_4_training_views,0.085518,0.270278,0.114196,0.316122,0.35954,0.28206
scene_90,mixed_lora_gray_4_training_views,0.275994,1.087668,1.654859,0.031066,0.02864,0.03394
scene_92,mixed_lora_gray_4_training_views,0.162714,14.909506,9.598072,0.063857,0.0474,0.09782
scene_93,mixed_lora_gray_4_training_views,0.19943,0.312633,0.25794,0.057944,0.0416,0.09544
scene_95,mixed_lora_gray_4_training_views,0.164907,0.31318,0.278004,0.035227,0.02738,0.04938
scene_96,mixed_lora_gray_4_training_views,0.074936,0.125382,0.071582,0.174537,0.1412,0.22848
scene_98,mixed_lora_gray_4_training_views,0.15027,0.211929,0.198512,0.088871,0.05816,0.1883
MEAN,mixed_lora_gray_4_training_views,0.121331,2.502748,2.239581,0.081121,0.068864,0.110433
MEDIAN,mixed_lora_gray_4_training_views,0.11088,0.265582,0.280106,0.060254,0.04914,0.0843
