scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_81,mixed_lora_gray,0.105342,0.205508,0.112372,0.029938,0.73554,0.01528
scene_85,mixed_lora_gray,0.147779,0.201891,0.21496,0.067003,0.0458,0.12476
scene_87,mixed_lora_gray,0.073574,0.19055,0.16927,0.083811,0.0733,0.09784
scene_89,mixed_lora_gray,0.132579,0.235567,0.057628,0.064236,0.07078,0.0588
scene_9,mixed_lora_gray,0.087707,0.273378,0.562351,0.030026,0.0318,0.02844
scene_90,mixed_lora_gray,0.291806,1.337014,1.083696,0.070872,0.06166,0.08332
scene_92,mixed_lora_gray,0.142204,15.19456,17.952583,0.056417,0.04374,0.07944
scene_93,mixed_lora_gray,0.287232,0.418425,0.244906,0.060017,0.0424,0.10268
scene_95,mixed_lora_gray,0.11629,0.315737,0.352601,0.04539,0.03672,0.05942
scene_96,mixed_lora_gray,0.058707,0.139457,0.060169,0.183139,0.1384,0.27062
scene_98,mixed_lora_gray,0.143353,0.219687,0.216836,0.086777,0.06258,0.14148
MEAN,mixed_lora_gray,0.122236,4.332297,4.61855,0.088968,0.084094,0.117572
MEDIAN,mixed_lora_gray,0.106178,0.470965,0.614267,0.066368,0.05761,0.09098
