scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_80,oil_painting_100_0blocks,0.147715,0.24916,0.14075,0.051747,0.0411,0.06984
scene_81,oil_painting_100_0blocks,0.11722,0.260217,0.342117,8e-05,0.69168,4e-05
scene_85,oil_painting_100_0blocks,0.124221,0.156849,0.26225,0.061008,0.04414,0.09874
scene_87,oil_painting_100_0blocks,0.105844,0.223832,0.192106,0.080674,0.08538,0.07646
scene_89,oil_painting_100_0blocks,0.15033,0.267004,0.046322,0.110959,0.0859,0.15666
scene_9,oil_painting_100_0blocks,0.086597,0.307048,0.729183,0.044208,0.0337,0.06424
scene_90,oil_painting_100_0blocks,0.378081,1.251502,0.845493,0.061785,0.04972,0.08158
scene_92,oil_painting_100_0blocks,0.116132,14.629467,9.310564,0.04744,0.03678,0.0668
scene_93,oil_painting_100_0blocks,0.225995,0.281714,0.251614,0.055142,0.04726,0.06618
scene_95,oil_painting_100_0blocks,0.122214,0.29912,0.534411,0.017234,0.0125,0.02774
scene_96,oil_painting_100_0blocks,0.053602,0.139412,0.034556,0.372729,0.31994,0.44638
scene_98,oil_painting_100_0blocks,0.149663,0.202788,0.198383,0.048727,0.0329,0.0939
MEAN,oil_painting_100_0blocks,0.119451,2.65884,2.243884,0.102439,0.098405,0.124378
MEDIAN,oil_painting_100_0blocks,0.106268,0.260217,0.257412,0.061785,0.05304,0.07646
