scene,baseline,AbsRel,RMSE,chamfer,fscore,precision,recall
scene_81,photographs_100_0blocks,0.112389,0.259824,0.301565,2.7e-05,4e-05,2e-05
scene_85,photographs_100_0blocks,0.086578,0.141001,0.24585,0.048265,0.03408,0.08268
scene_87,photographs_100_0blocks,0.058379,0.147474,0.186274,0.078853,0.07452,0.08372
scene_89,photographs_100_0blocks,0.096307,0.205784,0.082934,0.021854,0.02016,0.02386
scene_9,photographs_100_0blocks,0.060217,0.251245,0.065245,0.647553,0.75404,0.56742
scene_90,photographs_100_0blocks,0.217501,1.111509,0.616664,0.075488,0.0677,0.0853
scene_92,photographs_100_0blocks,0.105758,14.98057,7.447439,0.053942,0.05826,0.05022
scene_93,photographs_100_0blocks,0.151647,0.258205,0.327691,0.034238,0.04648,0.0271
scene_95,photographs_100_0blocks,0.083865,0.242974,0.621914,0.01584,0.01256,0.02144
scene_96,photographs_100_0blocks,0.043592,0.140284,0.027197,0.503379,0.49026,0.51722
scene_98,photographs_100_0blocks,0.117411,0.192996,0.281215,0.035358,0.03472,0.03602
MEAN,photographs_100_0blocks,0.090342,2.755111,3.502838,0.095261,0.102624,0.097454
MEDIAN,photographs_100_0blocks,0.0836,0.247109,0.31405,0.046336,0.04591,0.04918
