scene,frame,style,method,cosine_sim
scene_1,00000065,impressionism,destylized_controlnet,0.200806
scene_1,00000065,engraving,stylized,0.800293
scene_1,00000065,engraving,destylized_controlnet,0.236694
scene_1,00000070,watercolor,stylized,0.427979
scene_1,00000070,watercolor,destylized_controlnet,0.183228
scene_1,00000070,oil_painting,stylized,0.865234
scene_1,00000070,oil_painting,destylized_controlnet,0.414062
scene_1,00000070,impressionism,stylized,0.436768
scene_1,00000070,impressionism,destylized_controlnet,0.252686
scene_1,00000070,engraving,stylized,0.788574
scene_1,00000070,engraving,destylized_controlnet,0.346436
scene_10,00000000,watercolor,stylized,0.352051
scene_10,00000000,watercolor,destylized_controlnet,0.217407
scene_10,00000000,oil_painting,stylized,0.70459
scene_10,00000000,oil_painting,destylized_controlnet,0.59375
scene_10,00000000,impressionism,stylized,0.391846
scene_10,00000000,impressionism,destylized_controlnet,0.13208
scene_10,00000000,engraving,stylized,0.405273
scene_10,00000000,engraving,destylized_controlnet,0.162109
scene_10,00000005,watercolor,stylized,0.491455
scene_10,00000005,watercolor,destylized_controlnet,0.445801
scene_10,00000005,oil_painting,stylized,0.879395
scene_10,00000005,oil_painting,destylized_controlnet,0.816406
scene_10,00000005,impressionism,stylized,0.419189
scene_10,00000005,impressionism,destylized_controlnet,0.222168
scene_10,00000005,engraving,stylized,0.325195
scene_10,00000005,engraving,destylized_controlnet,0.364746
scene_10,00000010,watercolor,stylized,0.705566
scene_10,00000010,watercolor,destylized_controlnet,0.645508
scene_10,00000010,oil_painting,stylized,0.944824
scene_10,00000010,oil_painting,destylized_controlnet,0.70166
scene_10,00000010,impressionism,stylized,0.443848
scene_10,00000010,impressionism,destylized_controlnet,0.280762
scene_10,00000010,engraving,stylized,0.537109
scene_10,00000010,engraving,destylized_controlnet,0.521973
scene_10,00000015,watercolor,stylized,0.431885
scene_10,00000015,watercolor,destylized_controlnet,0.359619
scene_10,00000015,oil_painting,stylized,0.677734
scene_10,00000015,oil_painting,destylized_controlnet,0.501953
scene_10,00000015,impressionism,stylized,0.444336
scene_10,00000015,impressionism,destylized_controlnet,0.296631
scene_10,00000015,engraving,stylized,0.365967
scene_10,00000015,engraving,destylized_controlnet,0.157227
scene_10,00000020,watercolor,stylized,0.348633
scene_10,00000020,watercolor,destylized_controlnet,0.251465
scene_10,00000020,oil_painting,stylized,0.743164
scene_10,00000020,oil_painting,destylized_controlnet,0.804688
scene_10,00000020,impressionism,stylized,0.278809
scene_10,00000020,impressionism,destylized_controlnet,0.144165
scene_10,00000020,engraving,stylized,0.40332
scene_10,00000020,engraving,destylized_controlnet,0.156982
scene_10,00000025,watercolor,stylized,0.660156
scene_10,00000025,watercolor,destylized_controlnet,0.541504
scene_10,00000025,oil_painting,stylized,0.937012
scene_10,00000025,oil_painting,destylized_controlnet,0.70459
scene_10,00000025,impressionism,stylized,0.553711
scene_10,00000025,impressionism,destylized_controlnet,0.313232
scene_10,00000025,engraving,stylized,0.625977
scene_10,00000025,engraving,destylized_controlnet,0.496826
scene_10,00000030,watercolor,stylized,0.331543
scene_10,00000030,watercolor,destylized_controlnet,0.147949
scene_10,00000030,oil_painting,stylized,0.898926
scene_10,00000030,oil_painting,destylized_controlnet,0.722168
scene_10,00000030,impressionism,stylized,0.26001
scene_10,00000030,impressionism,destylized_controlnet,0.15979
scene_10,00000030,engraving,stylized,0.276611
scene_10,00000030,engraving,destylized_controlnet,0.197754
scene_10,00000035,watercolor,stylized,0.644531
scene_10,00000035,watercolor,destylized_controlnet,0.521973
scene_10,00000035,oil_painting,stylized,0.799316
scene_10,00000035,oil_painting,destylized_controlnet,0.689941
scene_10,00000035,impressionism,stylized,0.494629
scene_10,00000035,impressionism,destylized_controlnet,0.280518
scene_10,00000035,engraving,stylized,0.240601
scene_10,00000035,engraving,destylized_controlnet,0.209106
scene_10,00000040,watercolor,stylized,0.353271
scene_10,00000040,watercolor,destylized_controlnet,0.132568
